TABLE S1,,HELP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b_d,"base_distance
b_d = ∥p#5) - p(#17)∥  for hand",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f_cun,f_cun= 1/3 * b_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,t_d,Total_distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p_?,coordinates of acupoint name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p (# $?),coordinates of keypoint number $? from MediaPipe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"p($fraction_{$1,$2})",coordinates for fraction distance between points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"p(mid_{$1,$2})",coordinates for middle between points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"d⊥(p$1, p$2, p$3, distance)",Perpendicular distance from the point $3 that is between  points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,||.||,the norm (magnitude) of a vector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,*, scalar-vector multiplication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p(#?)_x,Represents the coordinates along the x-axis only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p(#?)_y,Represents the coordinates along the y-axis only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/,devision,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Acupoint,Full Name,Meridian,Location,Clinical Impact,right hand / right side of face,left hand/ left side of face,,,,,,,,,,,,,,,,,,,,,,,,,

Face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV-24,Chengjiang,Conception Vessel,"On the face, in the depression in the centreof the mentolabial sulcus.","Facial pain/paralysis - Bell's palsy, stroke affecting the face, mouth and/or tongue.
Dental pain - teeth and/or gums.
Speech issues - loss of voice, hoarseness, difficulty swallowing.
Dry mouth as seen in wasting and thirsting disorders (i.e. diabetes).  ","#center
p(#200)",,,,,,,,,,,,,,,,,,,,,,,,,,
BL-1,Jingming,Bladder,"On the face, in the depression between thesuperomedial parts of the inner canthus ofthe eye and the medial wall of the orbit.","Eye pain, strain, redness, swelling, itching, twitching, blurry vision, etc.
Myopia, color blindness, night blindness.
Glaucoma, optic nerve atrophy, cataracts.",p_BL1= p(#413),p_BL1= p(#189),,,,,,,,,,,,,,,,,,,,,,,,,
BL-2,Cuanzhu,Bladder,"On the head, in the depression at the medialend of the eyebrow.","Local point for sinus congestion a/or headache.
Red, itchy, watery eyes - allergies.",p_BL2= p(#285),p_BL12= p(#55),,,,,,,,,,,,,,,,,,,,,,,,,
GB-1,Tongziliao,Gallbladder,"On the head, in the depression, 0.5 B-cunlateral to the outer canthus of the eye.","Rising effecting the head - headache, eye problems, similar to Taiyang which is used more.
Local point for manifestations of heat - pain, inflammation, etc","p_GB1= p(p(#466)_x, p(#359)_y)","p_GB1= p(p(#226)_x, p(#130)_y)",,,,,,,,,,,,,,,,,,,,,,,,,
GB-2,Tinghui,Gallbladder,"On the face, in the depression between theintertragic notch and the condylar processof the mandible"," Ear issues, tinnius, otitis media, deafness.
Eliminate wind locally - TMJ disorder, facial paralysis, trigeminal neuralgia, toothache",p_GB2= p(#323),p_GB2= p(#93),,,,,,,,,,,,,,,,,,,,,,,,,
GB-14,Yangbai,Gallbladder,"On the head, 1 B-cun superior to the eyebrow, directly superior to the centre of thepupil.","Frontal/temporal (ST/TH area) headaches.
Eye issues (direct needle towards eye) - redness, swelling, itching, twitching, etc",p_GB14= p(#299),p_GB14= p(#69),,,,,,,,,,,,,,,,,,,,,,,,,
GV-25,Suliao,Governing Vessel,"On the face, at the tip of the nose","Important point to restore or help maintain consciousness, for shock, loss of consciousness, to revive from drowning.
Rosacea, circulation issues in nose.
Nasal issues - rhinitis, polyps, discharge, inability or changes in olfactory sensations (smell).
May reduce alcohol intoxication (deadman).  ","#center
p_GV25= p(#4)",,,,,,,,,,,,,,,,,,,,,,,,,,
GV-26,Shuigou,Governing Vessel,"On the face, at the midpoint of the philtrummidline.","Main point for acute low back sprain, helps relieve pain and restore motion, moves stagnation at the opposite end of the channel. After obtaining the Qi, have pateint bend then rotate the waist.
Nosebleed, nasal discharge issues, problems with olfactory sensations (smell).
Manic-depression and other strong shen disturbances, epilepsy (seizures).","#center
p_GV26= p(mid{p_LI19-right, p_LI19-left} )",,,,,,,,,,,,,,,,,,,,,,,,,,
GV-27,Duiduan,Governing Vessel,"On the face, at the midpoint of the tubercleof the upper lip.","Problems of the mouth and sinuses - tongue ulcers, bad breath (halitosis), pain a/or swelling of the gums, nosebleed, nasal congestion.
Psychological/Shen issues - manic depression, epilepsy, etc.  ","#center
p_GV27= p(#0)",,,,,,,,,,,,,,,,,,,,,,,,,,
LI-19,Kouheliao,Large Intestine,"On the face, at the same level as the midpoint of the philtrum, inferior to the lateralmargin of the nostril.","Sinus congestion.
Nasal polyps, sores.
Nosebleed","t_d = ∥p(#393) - p(#167)∥
p_LI19= p(#167) +(p(#393)  - p(#167)) * (6/5*t_d)","t_d = ∥p(#393) - p(#167)∥
p_LI19= p(#393) +(p(#167)  - p(#393)) * (6/5*t_d)",,,,,,,,,,,,,,,,,,,,,,,,,
LI-20,Yingxiang,Large Intestine,"On the face, in the nasolabial sulcus, at thesame level as the midpoint of lateral borderof the ala of the nose.","Loss of smell or taste, nasal discharge, any nose a/or sinus issues, nasal polyps, rhinitis, sinusitis, allergies.
Tong Ren/Tam Healing System: Sinus issues",p_LI20= p(#358),p_LI20= p(#129),,,,,,,,,,,,,,,,,,,,,,,,,
SI-18,Quanliao,Small Intestine,"On the face, inferior to the zygomatic bone,in the depression directly inferior to theouter canthus of the eye.","Local point for facial disorders, Bell's palsy, trigeminal neuralgia, spasm, twitching of the eyelids, facial muscles, etc..
Upper jaw tootache.
Yellowing of the sclera.  ","t_d = ∥p(#411) - p(#425)∥
p_LI19= p(#411) +(p(#425) - p(#411)) * (1/3*t_d)","t_d = ∥p(#205) - p(#187)∥
p_LI19= p(#187) +(p(#205) - p(#187)) * (1/3*t_d)",,,,,,,,,,,,,,,,,,,,,,,,,
ST-1,Chengqi,Stomach,"On the face, between the eyeball and theinfraorbital margin, directly inferior to thepupil.","Any eye issue, although ST 2 is a good alternative and arguably safer to needle.
Excessive lacrimation, redness, dryness, painful a/or itchy eyes/eyelids, twitching of the eyelids.
Visual disturbances, night blindness.",p_ST1= p(#450),p_ST1= p(#230),,,,,,,,,,,,,,,,,,,,,,,,,
ST-2,Sibai,Stomach,"On the face, in the infraorbital foramen.Below eye, lateral to ST-1","Any eye problem - red, painful and/or itchy eyes, excessive lacrimation, twitching of the eyelids.
Facial paralysis.
Good alternative to ST 1 and safer to needle for those not properly trained.",p_ST2= p(#330),p_ST2= p(#101),,,,,,,,,,,,,,,,,,,,,,,,,
ST-3,Juliao,Stomach,"On the face, directly inferior to the pupil, atthe same level as the inferior border of theala of the nose. Below eye, lateral to ST-2","Local point - Twitching eyelids, pain a/or swelling of the cheek, trigeminal neuralgia, toothache.
Deviation from stroke, bell's palsy, facial paralysis.
Swelling of the knee (Deadman text).",p_ST3= p(#426),p_ST3= p(#206),,,,,,,,,,,,,,,,,,,,,,,,,
ST-4,Dicang,Stomach,"On the face, in the depression between thesuperomedial parts of the inner canthus ofthe eye and the medial wall of the orbit","Facial pain - Bell's palsy, facial paralysis, trigeminal neuralgia, deviation of mouth from stroke, toothache.
Inability to close the eye, eye twitching, itching, night blindness.
Inability to eat.
May be helpful for atrophy and/or movement issues within the legs.",p_ST4= p(#287),p_ST4= p(#57),,,,,,,,,,,,,,,,,,,,,,,,,
