                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4961,                 10.129,                0.65625,                 1.1285,                  1.957,                0.51177,                0.52397,                0.37151,                0.07673,                      0,                      0,                      0,                      0,                  3.292,                 9.5473,                0.48782,                 1.1288,                 3.1374,              0.0033234,              0.0033234,              0.0033234
                      2,                 1.2484,                  7.954,                0.53113,                0.80027,                 1.6892,                0.65329,                0.71322,                0.67978,                0.17017,                0.08094,                0.08595,                0.02995,                0.00513,                 3.0055,                 7.2806,                 0.4188,                 1.1979,                 3.0487,              0.0066566,              0.0066566,              0.0066566
                      3,                 1.2658,                 7.3682,                0.48983,                0.85096,                 1.7158,                0.32444,                0.32231,                0.20775,                0.03857,                0.17886,                0.07934,                0.04222,                0.00714,                 3.8528,                 7.1694,                0.40501,                 1.3804,                 3.9282,               0.009989,               0.009989,               0.009989
                      4,                 1.3092,                 6.9966,                0.44357,                0.94789,                 1.7499,                0.60806,                0.65785,                0.56526,                0.13557,                0.11874,                0.04463,                0.01819,                0.00443,                 2.4325,                 7.2353,                 0.3769,                 2.2718,                 2.4611,              0.0099976,              0.0099976,              0.0099976
                      5,                  1.277,                 6.1334,                0.39442,                0.93264,                  1.705,                0.33687,                0.40331,                0.19499,                0.03893,                0.33058,                0.36033,                0.20255,                0.04511,                 3.4404,                 5.2336,                0.30543,                 2.1835,                 3.3907,              0.0099976,              0.0099976,              0.0099976
                      6,                 1.2329,                 5.6212,                0.36499,                0.88548,                 1.6575,                0.35702,                0.36529,                0.21135,                0.03989,                0.63952,                0.65124,                0.55181,                0.16491,                  3.704,                 3.9278,                0.28899,                 1.3189,                 3.9268,              0.0099957,              0.0099957,              0.0099957
                      7,                 1.2096,                 5.1913,                0.34343,                0.86355,                 1.6309,                 0.5235,                0.53223,                0.37167,                0.07676,                0.58334,                0.58678,                0.40142,                0.09469,                 3.2733,                 3.8236,                0.27246,                 1.3794,                 3.5111,              0.0099932,              0.0099932,              0.0099932
                      8,                 1.1923,                 4.8803,                 0.3256,                0.83462,                 1.6132,                0.31039,                0.30413,                0.18014,                0.02863,                0.68744,                 0.6876,                0.50437,                0.12594,                 3.8749,                 3.5754,                0.25491,                 1.6745,                  4.312,              0.0099902,              0.0099902,              0.0099902
                      9,                 1.1754,                 4.6352,                0.31345,                0.81995,                 1.5943,                 0.5739,                    0.6,                0.52614,                0.12677,                0.71205,                 0.7157,                0.60611,                0.15057,                 2.7507,                 4.2677,                0.24687,                 1.5555,                 3.1851,              0.0099867,              0.0099867,              0.0099867
                     10,                 1.1518,                 4.3499,                0.30224,                0.78908,                 1.5711,                0.63452,                0.67273,                 0.5969,                0.12304,                0.71928,                0.73058,                0.61056,                0.15578,                 3.0766,                 3.5669,                0.23916,                 1.2311,                 3.1639,              0.0099826,              0.0099826,              0.0099826
